Date,Value
1980-12-07,41.03871095
1980-12-08,41.09119125
1980-12-09,41.15488307
1980-12-10,41.12114509
1980-12-11,41.18391878
1980-12-12,41.24729383
1980-12-13,41.29158883
1980-12-14,41.39079
1980-12-15,41.46735835
1980-12-16,41.54690324
1980-12-17,41.64300282
1980-12-18,41.71183999
1980-12-19,41.77585641
1980-12-20,41.83411299
1980-12-21,41.92438415
1980-12-22,42.04660163
1980-12-23,42.17887406
1980-12-24,42.21083437
1980-12-25,42.25597539
1980-12-26,42.40663176
1980-12-27,42.46235729
1980-12-28,42.52231483
1980-12-29,42.55062587
1980-12-30,42.5778296
1980-12-31,42.68323556
1981-01-01,42.79416915
1981-01-02,42.90789021
1981-01-03,42.97861804
1981-01-04,43.01567155
1981-01-05,43.09456531
1981-01-06,43.25352328
1981-01-07,43.40987968
1981-01-08,43.47666555
1981-01-09,43.53738301
1981-01-10,43.59203762
1981-01-11,43.69982989
1981-01-12,43.7753373
1981-01-13,43.86608734
1981-01-14,43.94235853
1981-01-15,44.01570086
1981-01-16,44.02334547
1981-01-17,44.12036001
1981-01-18,44.25228581
1981-01-19,44.36661608
1981-01-20,44.47842505
1981-01-21,44.60082012
1981-01-22,44.67630541
1981-01-23,44.7386738
1981-01-24,44.84518027
1981-01-25,44.92475872
1981-01-26,44.98726592
1981-01-27,45.09772487
1981-01-28,45.27110768
1981-01-29,45.37115012
1981-01-30,45.46149212
1981-01-31,45.58970066
1981-02-01,45.66183501
1981-02-02,45.72589644
1981-02-03,45.86160476
1981-02-04,45.96437031
1981-02-05,45.99259119
1981-02-06,46.06412041
1981-02-07,46.16323019
1981-02-08,46.27809745
1981-02-09,46.40631204
1981-02-10,46.47713029
1981-02-11,46.54270753
1981-02-12,46.62507648
1981-02-13,46.75338416
1981-02-14,46.84773853
1981-02-15,46.96795653
1981-02-16,47.02950012
1981-02-17,47.10654251
1981-02-18,47.26750038
1981-02-19,47.38284245
1981-02-20,47.50649619
1981-02-21,47.58545641
1981-02-22,47.64582535
1981-02-23,47.7800332
1981-02-24,47.848187
1981-02-25,47.94885434
1981-02-26,48.04994453
1981-02-27,48.1321274
1981-02-28,48.22065226
1981-03-01,48.26044122
1981-03-02,48.31548404
1981-03-03,48.42035637
1981-03-04,48.50225847
1981-03-05,48.66728056
1981-03-06,48.77518628
1981-03-07,48.91588231
1981-03-08,48.98489517
1981-03-09,49.02346968
1981-03-10,49.18462494
1981-03-11,49.3211435
1981-03-12,49.41687316
1981-03-13,49.56153299
1981-03-14,49.68437696
1981-03-15,49.83535118
1981-03-16,49.8749597
1981-03-17,50.01057178
1981-03-18,50.14114804
1981-03-19,50.25921996
1981-03-20,50.33424072
1981-03-21,50.47533509
1981-03-22,50.53081654
1981-03-23,50.67256878
1981-03-24,50.7763676
1981-03-25,50.90551737
1981-03-26,50.96239391
1981-03-27,51.09489415
1981-03-28,51.18016568
1981-03-29,51.28447294
1981-03-30,51.33926054
1981-03-31,51.39840953
1981-04-01,51.48231572
1981-04-02,51.59253251
1981-04-03,51.73682403
1981-04-04,51.8584704
1981-04-05,52.02753256
1981-04-06,52.10496923
1981-04-07,52.22451438
1981-04-08,52.31459852
1981-04-09,52.47673551
1981-04-10,52.5955454
1981-04-11,52.71159858
1981-04-12,52.8341249
1981-04-13,52.9704462
1981-04-14,53.02405248
1981-04-15,53.17515451
1981-04-16,53.26193953
1981-04-17,53.36371931
1981-04-18,53.47123833
1981-04-19,53.6028989
1981-04-20,53.70194497
1981-04-21,53.84697078
1981-04-22,53.99251711
1981-04-23,54.04474844
1981-04-24,54.11077575
1981-04-25,54.21744776
1981-04-26,54.30509166
1981-04-27,54.37692759
1981-04-28,54.50553747
1981-04-29,54.53624601
1981-04-30,54.61472369
1981-05-01,54.7334833
1981-05-02,54.81078824
1981-05-03,54.92857005
1981-05-04,54.95871851
1981-05-05,55.08954079
1981-05-06,55.22001562
1981-05-07,55.34554398
1981-05-08,55.46202482
1981-05-09,55.59783774
1981-05-10,55.69977446
1981-05-11,55.84182362
1981-05-12,56.01111537
1981-05-13,56.14994312
1981-05-14,56.27159655
1981-05-15,56.42468513
1981-05-16,56.58762159
1981-05-17,56.70332006
1981-05-18,56.84176495
1981-05-19,56.92990249
1981-05-20,57.0345227
1981-05-21,57.18000887
1981-05-22,57.24302791
1981-05-23,57.37352471
1981-05-24,57.52820855
1981-05-25,57.64258443
1981-05-26,57.81605626
1981-05-27,57.95408484
1981-05-28,58.06697511
1981-05-29,58.20805231
1981-05-30,58.27441365
1981-05-31,58.3943215
1981-06-01,58.48886914
1981-06-02,58.58767252
1981-06-03,58.67513445
1981-06-04,58.77176572
1981-06-05,58.90726629
1981-06-06,59.00407986
1981-06-07,59.14792317
1981-06-08,59.26183538
1981-06-09,59.34244187
1981-06-10,59.45835219
1981-06-11,59.4980316
1981-06-12,59.62662083
1981-06-13,59.79668201
1981-06-14,59.86545963
1981-06-15,59.96452972
1981-06-16,60.06160267
1981-06-17,60.20471444
1981-06-18,60.30624188
1981-06-19,60.41615995
1981-06-20,60.5277231
1981-06-21,60.60832209
1981-06-22,60.73431911
1981-06-23,60.83067194
1981-06-24,60.95419496
1981-06-25,61.07829281
1981-06-26,61.13459479
1981-06-27,61.28377882
1981-06-28,61.44349309
1981-06-29,61.58668341
1981-06-30,61.72760471
1981-07-01,61.86773264
1981-07-02,62.03407489
1981-07-03,62.11009608
1981-07-04,62.2824092
1981-07-05,62.41105486
1981-07-06,62.55597187
1981-07-07,62.63661781
1981-07-08,62.69724827
1981-07-09,62.80315171
1981-07-10,62.92277107
1981-07-11,63.03672702
1981-07-12,63.15820941
1981-07-13,63.28821514
1981-07-14,63.37804477
1981-07-15,63.53018994
1981-07-16,63.63916784
1981-07-17,63.77425433
1981-07-18,63.94041836
1981-07-19,64.06167708
1981-07-20,64.19582304
1981-07-21,64.31448322
1981-07-22,64.44119624
1981-07-23,64.55831271
1981-07-24,64.71722198
1981-07-25,64.87913333
1981-07-26,65.01177091
1981-07-27,65.11133213
1981-07-28,65.2204982
1981-07-29,65.29232444
1981-07-30,65.47248915
1981-07-31,65.58098468
1981-08-01,65.7450469
1981-08-02,65.89870946
1981-08-03,66.02978016
1981-08-04,66.15104661
1981-08-05,66.2533372
1981-08-06,66.37731037
1981-08-07,66.54186683
1981-08-08,66.6123391
1981-08-09,66.66557137
1981-08-10,66.76475572
1981-08-11,66.84667236
1981-08-12,66.98943383
1981-08-13,67.12786288
1981-08-14,67.26054787
1981-08-15,67.41142916
1981-08-16,67.51835773
1981-08-17,67.64258433
1981-08-18,67.79429202
1981-08-19,67.91865655
1981-08-20,68.00673104
1981-08-21,68.12662446
1981-08-22,68.29111662
1981-08-23,68.4589066
1981-08-24,68.58742543
1981-08-25,68.76577917
1981-08-26,68.90144422
1981-08-27,69.05403356
1981-08-28,69.18165531
1981-08-29,69.34735321
1981-08-30,69.44351056
1981-08-31,69.59204477
1981-09-01,69.74827146
1981-09-02,69.87701464
1981-09-03,70.01168711
1981-09-04,70.15644718
1981-09-05,70.26596588
1981-09-06,70.46218721
1981-09-07,70.58759957
1981-09-08,70.69910066
1981-09-09,70.83634884
1981-09-10,70.95733945
1981-09-11,71.12510308
1981-09-12,71.24554328
1981-09-13,71.38054994
1981-09-14,71.53187653
1981-09-15,71.65638863
1981-09-16,71.71421341
